"Section name";"Template name";"Template preview";"Due at";"Tags";"Enqueues";"Deliveries";"Bounces";"Opens";"Open rate";"Views";"Unique views";"Clicks";"Unique clicks";"Click rate";"Clickthrough rate";"Unsubscribes";"Forwards";"Complaints"
"Memo #71: Mikrokoolid ja suunamudijate needus";"Memo #71: Mikrokoolid ja suunamudijate needus";"https://9hgnq6yi.sendsmaily.net/templates/89333890-8fda-5e5f-bd80-7a367eba62cd/html/";"2020-08-10 08:30:00";;"317";"314";"3";"204";"65.0%";"451";"197";"163";"98";"31.2%";"48.0%";0;0;0
"Memo #70: Tehis-august";"Memo #70: Tehis-august";"https://9hgnq6yi.sendsmaily.net/templates/37463e0a-c2e0-5bd6-b11e-a185bcb330e0/html/";"2020-08-03 08:30:00";;"315";"314";"1";"208";"66.2%";"414";"205";"107";"53";"16.9%";"25.5%";0;0;0
"Memo #69: Kildhaaval tugevaks";"Memo #69: Kildhaaval tugevaks";"https://9hgnq6yi.sendsmaily.net/templates/49c064c7-c302-5ea6-beb9-64ae35d23c9a/html/";"2020-07-27 08:30:00";;"316";"315";"1";"202";"64.1%";"436";"202";"67";"47";"14.9%";"23.3%";0;0;0
"Memo #68: Keel ja kiri";"Memo #68: Keel ja kiri";"https://9hgnq6yi.sendsmaily.net/templates/0a106a88-f097-5e5b-9dee-528f878711f6/html/";"2020-07-20 08:30:00";;"317";"314";"3";"214";"68.2%";"471";"210";"184";"77";"24.5%";"36.0%";0;0;0
"Memo #67: Memento mori";"Memo #67: Memento mori";"https://9hgnq6yi.sendsmaily.net/templates/e2e44478-39fd-5e9d-866b-87e1fa96a72b/html/";"2020-07-13 08:30:00";;"317";"316";"1";"201";"63.6%";"433";"199";"61";"41";"13.0%";"20.4%";"1";0;0
"Memo #66: USA! USA! USA!";"Memo #66: USA! USA! USA!";"https://9hgnq6yi.sendsmaily.net/templates/63951fec-e25e-53a7-894c-aee654a2827b/html/";"2020-07-06 08:30:00";;"317";"317";0;"198";"62.5%";"574";"194";"78";"61";"19.2%";"30.8%";0;0;0
"Memo #65: Ahistaja tõde ja õigus";"Memo #65: Ahistaja tõde ja õigus";"https://9hgnq6yi.sendsmaily.net/templates/55e9b42a-b3a8-5f3a-b64b-e5fb4012ad82/html/";"2020-06-29 08:30:00";;"317";"315";"2";"214";"67.9%";"456";"213";"58";"41";"13.0%";"19.2%";0;0;0
"Memo #64: Tootlik jaanipäev";"Memo #64: Tootlik jaanipäev";"https://9hgnq6yi.sendsmaily.net/templates/a034ed15-065f-506d-b395-3c00a8e7a833/html/";"2020-06-22 08:30:00";;"318";"313";"5";"196";"62.6%";"400";"192";"186";"67";"21.4%";"34.2%";0;0;0
"Memo #63: Sõnumid raha eest";"Memo #63: Sõnumid raha eest";"https://9hgnq6yi.sendsmaily.net/templates/3d76075e-8028-5196-88c2-621ff60f74f6/html/";"2020-06-15 08:30:00";;"319";"316";"3";"212";"67.1%";"511";"206";"131";"96";"30.4%";"45.3%";0;0;0
"Memo #62: Lihtsad sõnad";"Memo #62: Lihtsad sõnad";"https://9hgnq6yi.sendsmaily.net/templates/c2945264-28a7-510c-b502-b8f5a05081b3/html/";"2020-06-08 08:30:00";;"317";"314";"3";"206";"65.6%";"464";"201";"121";"64";"20.4%";"31.1%";0;0;0
