post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
161134738.memo-315-sundimiseks-valmis,,false,,,newsletter,everyone,,,
160633170.memo-314-pikk-jutt,2025-04-07T05:31:02.191Z,true,2025-04-07T05:31:02.350Z,2025-04-07T05:31:02.350Z,newsletter,everyone,Memo #314: Kontsert-loeng,,
160116111.memo-313-tegutsemine-on-vaimne-heaolu,2025-03-31T05:30:46.729Z,true,2025-03-31T05:30:46.827Z,2025-03-31T05:30:46.827Z,newsletter,everyone,Memo #313: Tegutsemine = vaimne heaolu,,
159534389.memo-312-suitsusest-ruumist-valja,2025-03-24T06:30:57.495Z,true,2025-03-24T06:30:57.587Z,2025-03-24T06:30:57.587Z,newsletter,everyone,Memo #312: Suitsusest ruumist välja,,
159113032.memo-311-kutsu,2025-03-17T06:30:56.536Z,true,2025-03-17T06:30:56.655Z,2025-03-17T06:30:56.655Z,newsletter,everyone,Memo #311: KUTSU,,
158648426.memo-310-voidurelvastumine,2025-03-10T06:30:49.830Z,true,2025-03-10T06:30:49.917Z,2025-03-10T06:30:49.917Z,newsletter,everyone,Memo #310: Võidurelvastumine,,
158089815.memo-309-konelemised-koneldud,2025-03-03T06:30:42.207Z,true,2025-03-03T06:30:42.329Z,2025-03-03T06:30:42.329Z,newsletter,everyone,Memo #309: Kõnelemised kõneldud,,
157673708.memo-308-eesti-107,2025-02-24T06:30:54.222Z,true,2025-02-24T06:30:54.314Z,2025-02-24T06:30:54.314Z,newsletter,everyone,Memo #308: 🇪🇪 Eesti 107,,
157126958.memo-307-printsiip,2025-02-17T06:31:25.570Z,true,2025-02-17T06:31:25.670Z,2025-02-17T06:31:25.670Z,newsletter,everyone,Memo #307: Printsiip,,
156727134.memo-306-elderly-pride,2025-02-10T06:30:57.343Z,true,2025-02-10T06:30:57.447Z,2025-02-10T06:30:57.447Z,newsletter,everyone,Memo #306: 👴 Elderly pride,,
156165230.memo-305-keelatagu,2025-02-03T06:30:55.719Z,true,2025-02-03T06:30:55.798Z,2025-02-03T06:30:55.798Z,newsletter,everyone,Memo #305: Keelatagu?,,
155682032.memo-304-usaeuroopahiina,2025-01-27T06:31:10.079Z,true,2025-01-27T06:31:10.214Z,2025-01-27T06:31:10.214Z,newsletter,everyone,Memo #304: USA⇄Euroopa⇄Hiina,,
155076917.memo-303-riik-ajab-vorgud-fuusiliseks,2025-01-20T06:30:56.216Z,true,2025-01-20T06:30:56.307Z,2025-01-20T06:30:56.307Z,newsletter,everyone,Memo #303: Geopoliitika = riigid + sotsiaalmeedia,,
154615893.memo-302-kas-me-oleme-halvad-voi,2025-01-13T06:31:18.685Z,true,2025-01-13T06:31:18.787Z,2025-01-13T06:31:18.787Z,newsletter,everyone,Memo #302: Kas me oleme halvad või head?,,
153851348.2025-ennustused-endale,,false,,,newsletter,everyone,,,
153851321.memo-301-kobarokraatia,2025-01-06T06:30:48.855Z,true,2025-01-06T06:30:48.957Z,2025-01-06T06:30:48.957Z,newsletter,everyone,Memo #301: Kobarokraatia,,
153706250.memo-300-aasta,2024-12-30T06:30:48.885Z,true,2024-12-30T06:30:48.994Z,2024-12-30T06:30:48.994Z,newsletter,everyone,Memo #300: Aasta ✅,,
153405345.memo-299-tarade-uletamisest,2024-12-23T06:30:49.439Z,true,2024-12-23T06:30:49.612Z,2024-12-23T06:30:49.612Z,newsletter,everyone,Memo #299: Tarade ületamisest,,
153117623.memo-298-ukski-kingitus-ei-ole-tasuta,2024-12-16T06:30:50.618Z,true,2024-12-16T06:30:50.719Z,2024-12-16T06:30:50.719Z,newsletter,everyone,Memo #298: Ükski kingitus ei ole tasuta,,
152694896.memo-297-cheugy-af,2024-12-09T06:30:47.779Z,true,2024-12-09T06:30:47.890Z,2024-12-09T06:30:47.890Z,newsletter,everyone,Memo #297: Cheugy AF,,
152350547.memo-296-flippening,2024-12-02T06:30:47.996Z,true,2024-12-02T06:30:48.074Z,2024-12-02T06:30:48.074Z,newsletter,everyone,Memo #296: Flippening,,
